Mã_Tin,Hãng_Xe,Dòng_Xe,Tên_Xe,Giá_Triệu_VNĐ,Giá_Gốc,Năm sản xuất,Tình trạng,Odo_Km,Xuất xứ,Động cơ,Hộp số,Màu ngoại thất,Số chỗ ngồi,Dẫn động,URL,Kiểu dáng,Màu nội thất,Số cửa,Mô_Tả
6644764,Audi,Khác,Audi A5 Sportback 2.0 2017,890,890 Triệu,2017,Xe đã dùng,70000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-a5-sportback-2.0-2017-6644764,Sedan,Đen,4 cửa,| | #Audi_A5 Sportback Sx 2017 đki 2018 một chủ từ mới. Odo 7v km siêu mới cực đẹp. Cam kết chất lượng xe hỗ trợ bank tối đa | | | |
6445432,Audi,Khác,Audi A4 1.8 TFSI 2014,489,489 Triệu,2014,Xe đã dùng,42000.0,Nhập khẩu,Xăng 1.8 L,Số tự động,Đen,5 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-a4-1.8-tfsi-2014-6445432,Sedan,Đen,4 cửa,"| | ️ ️Audi A4 Facelift model 2015 màu đen cực ngầu | - Màu đen/ nt màu đen rất sạch | - Động cơ 1.8 Turbo với 190 mã lực kèm theo hộp số mới 7 cấp S-Tronic | - Option theo xe: khoang lái máy bay, nhạc hay loa sức sắc,… | | ✓️Đảm bảo ko đâm đụng, ngập nước. | ✓️Bao test hãng | ✓️Bao bank, duyệt hồ sơ trong ngày | Tặng gói chăm sóc xe và phủ Ceramic cao cấp | Ngân hàng hỗ trợ 70% | | | |"
6560082,Audi,Khác,Audi A8 L V6 3.0 TFSI 2016,1199,1 Tỷ 199 Triệu,2016,Xe đã dùng,58000.0,Nhập khẩu,Xăng 3.0 L,Số tự động,Trắng,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-a8-l-v6-3.0-tfsi-2016-6560082,Sedan,Nâu,4 cửa,"| | AUDI A8L TFSI SUPERCHARGED Model 2017 – ĐẲNG CẤP DOANH NHÂN | | SX: 2016 – Màu Trắng nội thất Nâu sang trọng | ⚙️ Động cơ: 3.0L Supercharged – 333HP – Hộp số 8 cấp Tiptronic – Dẫn động 4 bánh Quattro | | Option nổi bật: | • Đèn pha LED Matrix thông minh | • Ghế da cao cấp chỉnh điện, nhớ vị trí, massage | • Cửa sổ trời Panorama | • Âm thanh Bose 14 loa | • Camera 360° & cảm biến quanh xe | • Điều hòa tự động 4 vùng độc lập | • Rèm che nắng điện hàng ghế sau | • Hệ thống hỗ trợ lái & kiểm soát hành trình Cruise Control | | Hồng Phúc Auto cam kết: | ✓ Hỗ trợ ngân hàng tới 65% giá trị xe – Giải ngân nhanh | ✓ Hệ thống điện & điều khiển không lỗi | ✓ Pháp lý chuẩn 100%, không tranh chấp, không phạt nguội | ✓ Nhận trao đổi, giao lưu xe | Thu mua xe cũ giá cao nhất – Hoa hồng hấp dẫn cho người giới thiệu | | | |"
6687678,Audi,Khác,Audi A7 55 TFSI Quattro 2021,2260,2 Tỷ 260 Triệu,2021,Xe đã dùng,51000.0,Nhập khẩu,Xăng 3.0 L,Số tự động,Trắng,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-a7-55-tfsi-quattro-2021-6687678,Sedan,Đen,4 cửa,"| | Sẵn Xe Giao Ngay , Chìa khóa Trao Tay,Sang Tên Trong Ngày.Xe Đang Ở Trạng Thái Tốt Nhất Chờ Bàn Giao Tới Tay Người Dùng .ib Em ah . | | Audi A7 Sportblack 55 TFSI Quattro Sản Xuất 2021 đklđ 2022 1 chủ duy nhất chạy hơn 5vạnkm Cam kết xe Zin không lỗi.Xe đẹp xuất sắc. | | Xe em bán ra kam kết .không ngạp nước , thủy kích .không bổ máy ,số ( zin ) . Không đâm va ảnh hưởng kết cấu khung gầm máy .không tranh chấp pháp lý .các bác có nhu cầu mua bán xe call luôn em.UY TÍN CHẤT LƯỢNG LÀ SỰ SỐNG CÒN CỦA CHÚNG TÔI. THANKS. | | | |"
6686126,Audi,Khác,Audi Q3 35 TFSI Advanced Black Edition 2024,1699,1 Tỷ 699 Triệu,2024,Xe đã dùng,5000.0,Nhập khẩu,Xăng 1.4 L,Số tự động,Trắng,5 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-q3-35-tfsi-advanced-black-edition-2024-6686126,Crossover,Đen,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q3 Advanced 35TFSI Sx 2024 1 từ đầu xe chạy 5000km Cam kết xe Zin không lỗi.Xe đẹp xuất sắc. | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
5835837,Audi,Khác,Audi Q8 55 TFSI S-Line Quattro 2024,4100,4 Tỷ 100 Triệu,2024,Xe mới,,Nhập khẩu,Xăng 3.0 L,Số tự động,Trắng,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q8-55-tfsi-s-line-quattro-2024-5835837,SUV,Nâu,5 cửa,"| | Audi Q8 Sline Black Edition 55 TFSI Quattro | Xe Sản Xuất 2024 Mới 100% tại Audi Hồ Chi Minh. Xe giao ngay nhiều màu,Giá lăn bánh tốt nhất. | Audi Q8 Sline Black Edition 55 TFSI Quattro | Chiếc xe được phát triển trên nền tảng MLB Evo(sử dụng chung khung gầm) tương tự Lamborghini Urus | Sở hữu sự tinh tế của Coupe’ 5 cửa và thực dụng của SUV cỡ lớn | Diện mạo tổng thể rất bắt mắt,nổi bật với lưới tản nhiệt khung đơn cỡ lớn,cụm đèn pha trước trang bị gói HD Matrix Led và cụm đèn hậu full led thiết kế trải dài đều từ trái qua phải | Trang bị vành hợp kim nhôm 21 inch 5 chấu chữ W với cỡ lốp 285/45 R21 | Đông cợ xăng V6 3.0 55 TFSI với công suất 340 mã lực và mô-men xoắn 500Nm | Xe có khả năng tăng tốc từ 0-100km/h trong 5,9 giây đi kèm với hộp số 8 cấp Tiptronic cùng hệ dẫn động Quattro Ultra mạnh mẽ | Trang bị 6 chế độ lái khác nhau trong đó bao gồm cả chế độ lái Off-Road | Bên trong khoang lái ngập tràn công nghệ với 2 màn hình cảm ứng MMI(10.1 inch phía trên và 8.6 inch phía dưới) cùng buồng lái ảo Audi Vitural Cockpit 12.3 inch | Hệ thống hiển thị thông tin trên kính lái HUD | Hệ thống đèn viền đổi màu(30 màu) làm chạy theo các đường viền nội thất tạo ánh sáng nền nổi bật | Hệ thống âm thanh cao cấp 3D Bang & Oflusen (16 loa 705 watt) | Hệ thống điều hoà 4 vùng tự động và bộ lọc hạt gây di ứng,bụi siêu mịn | Hệ thống đỗ xe với 360 độ 3D toàn cảnh | Bảo hành 3 năm không giới hạn km | | | |"
6635111,Audi,Khác,Audi Q5 45 TFSI Quattro 2021,1680,1 Tỷ 680 Triệu,2021,Xe đã dùng,10000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-45-tfsi-quattro-2021-6635111,SUV,Đen,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 45 TFSI Quattro sx 2021 xe chạy hơn 1vạnkm mới nhất Việt Nam zin 100% cả sơn .Xe Cam kết xe Zin không lỗi.Xe đẹp xuất sắc. | | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6564044,Audi,Khác,Audi Q5 45 TFSI Quattro 2025,2079,2 Tỷ 79 Triệu,2025,Xe đã dùng,7000.0,Nhập khẩu,Hybrid 2.0 L,Số tự động,Xanh,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-45-tfsi-quattro-2025-6564044,SUV,Đen,5 cửa,"| | Audi Q5 Sline sản xuất 2025 đã đi 7000Km. Trang bị: động cơ xăng 2.0L tăng áp, kết hợp hệ thống mild hybrid, hộp số tự động 7 cấp S tronic và hệ dẫn động bốn bánh quattro. Xe sở hữu các tiện nghi như màn hình giải trí 10,1 inch, màn hình đồng hồ kỹ thuật số 12,3 inch (tùy phiên bản), hệ thống điều hòa tự động 3 vùng, và các tính năng an toàn như camera 360 độ, hỗ trợ đỗ xe tự động, và kiểm soát hành trình thích ứng... | | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | | Liên hệ để biết thêm thông tin xe | | | |"
6469452,Audi,Khác,Audi A5 Sline 2.0 TFSI 2025,2199,2 Tỷ 199 Triệu,2025,Xe mới,,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,5 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-a5-sline-2.0-tfsi-2025-6469452,Sedan,Đen,4 cửa,"| | Audi A5 45 TFSI Allnew 2025 | | Audi A5 Allnew mang thiết kế Sportback thể thao, kích thước dài 4.829 mm, rộng 1.860 mm, cao 1.444 mm và chiều dài cơ sở 2.892 mm, cùng hệ số cản gió ấn tượng chỉ 0,25 cd. | | Nội thất A5 được nâng cấp toàn diện với ba màn hình lớn: Cụm đồng hồ kỹ thuật số Virtual Cockpit 11,9 inch, màn hình giải trí MMI Panoramic 14,5 inch và một màn hình phụ 10,9 inch cho hành khách phía trước. Hệ thống đèn viền nội thất đa màu mang lại cảm giác sang trọng và cá nhân hóa và nhiều tính năng option mới... | | Hãy liên hệ để có thông thông tin chi tiết về xe và chương trình ưu đãi | | | |"
6420854,Audi,Khác,Audi Q5 2.0 AT 2017,950,950 Triệu,2017,Xe đã dùng,110000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-2.0-at-2017-6420854,SUV,Đen,5 cửa,"| | Audi Q5 Sport TFSI Quattro sản xuất 2017 đăng ký lần đầu 2018 form mới 2018 | Màu trắng – Nội thất đen nguyên bản. | Trang bị option cao cấp: | • Hệ thống Quattro AWD danh tiếng | • Đèn LED ma trận thông minh | • Ghế da cao cấp chỉnh điện, nhớ vị trí | • Màn hình giải trí trung tâm + kết nối Apple CarPlay / Bluetooth | • Cảm biến trước sau + Camera lùi | • Điều hòa tự động 3 vùng | • Hệ thống âm thanh Audi cao cấp | • Gương chống chói, Cruise Control, phanh tay điện tử | • Chế độ lái đa dạng (Drive Select) | | Cam kết về chất lượng xe: | - Máy móc động cơ nguyên bản. Không lỗi điện, máy móc hoạt động hoàn hảo. | - Không đâm đụng tai nạn ảnh hưởng tới khung gầm sắt xi. | - Pháp lý rõ ràng, không phạt nguội, không tranh chấp | | | |"
6607869,Audi,Khác,Audi A5 Sportback 2.0 2017,890,890 Triệu,2017,Xe đã dùng,0.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-a5-sportback-2.0-2017-6607869,Sedan,Đen,4 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe MộcAudi A5 Sportback APEC sx 2017 đki 2018. Phom dáng thể thao cực kì đẹp. Bảo dưỡng full cực chất | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
5915634,Audi,Khác,Audi A1 1.4 TFSI 2010,339,339 Triệu,2010,Xe đã dùng,120000.0,Nhập khẩu,Xăng 1.4 L,Số tự động,Trắng,4 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-a1-1.4-tfsi-2010-5915634,Hatchback,Nâu,3 cửa,"| | AUTO CHỐT HÀ NỘI mới về chào bán ngay | | Nhập Team Nguyên Xe Mộc Audi A1 sản xuất 2010 , ngoại thất trắng nội thất nâu da bò , xe đã bảo dưỡng đầy đủ - odo 12vạn km . Đã được chủ cũ nâng cấp : màn hình , lazang …. xe rất mới …xe đẹp hết nước chấm , ACE TỰ TIN CỌC ONLINE . | | ACE kết nối có khách cùng bán.Thank’s! | | Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. | | | |"
6527962,Audi,Khác,Audi Q7 45 TFSI Quattro 2023,2879,2 Tỷ 879 Triệu,2023,Xe đã dùng,32000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q7-45-tfsi-quattro-2023-6527962,SUV,Nâu,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q7 45 TFSI Quattro 2.0 sản xuất 2023 xe chạy 2vạn miles xe đẹp không lỗi nhỏ | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6664982,Audi,Khác,Audi Q2 1.4 TFSI 2018,699,699 Triệu,2018,Xe đã dùng,96000.0,Nhập khẩu,Xăng 1.4 L,Số tự động,Vàng,5 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-q2-1.4-tfsi-2018-6664982,Crossover,Đen,5 cửa,"| | Audi Q2 TFSI sản xuất 2018 lăn bánh 6 Vạn Miles | - Tình trạng xe mộc mạc đã đẹp, vẫn còn 1 bước Spa | - Máy êm, bảo dưỡng đầy đủ các mốc | - Nhập khẩu nguyên chiếc Germany | | Cam kết văn bản xe không đâm đụng, không ngập nước. Check test thoải mái xe rất đẹp ạ | | Audi Q2 2018 hướng đến đối tượng khách hàng trẻ trong phân khúc SUV đô thị, thiết kế góc cạnh và sang trọng rất riêng của thương hiệu xe hạng sang đến từ Đức. | | Thông sỗ kỹ thuật: | - Động cơ 1.4 TFSI công suất 150Hp, tiêu thụ 5,4L/100km vận hành êm du, tiết kiệm. | - 10 Loa tiêu chuẩn Audi gồm loa siêu trầm và âm li | - Màn hình giải trí, cốp điện, mâm 17 ing, ... | | Liên hệ xem xe, lái thử trực tiếp tại | | H AUTO CHẤT NHƯ MỚI | | Địa chỉ : Số 9 Mai Chí Thọ, Long Biên, Hà Nội | | #Hauto #ChatNhuMoi #AudiQ2 #Q2_2018 #audiq2 | | | |"
6435422,Audi,Khác,Audi Q5 Sportback Sline 45 TFSI Quattro 2021,1678,1 Tỷ 678 Triệu,2021,Xe đã dùng,30000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-sportback-sline-45-tfsi-quattro-2021-6435422,SUV,Xám,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 Sportback Sline 45 TFSI Quattro Sx: 2021 đăng kí lần đầu 2022 Màu Xanh / nội thất ghi xám cực đẹp 1 chủ từ đầu chạy hơn 3vạnkm bảo dưỡng full lịch sử hãng cực mới...xe đẹp tuyệt đối | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6433547,Audi,Khác,Audi TT 2.0 TFSI 2015,1088,1 Tỷ 88 Triệu,2015,Xe đã dùng,96000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,4 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-tt-2.0-tfsi-2015-6433547,Coupe,Xám,2 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi TT 2.0 TFSI sản xuất 2015, lăn bánh hơn 96.000km. Độ hơn 600tr đồ chơi chính hãng đồ zin còn đủ | | Option: màn hình bản RS , Vô Lăng , Vành OZ xịn , full heo brembo 6 con , cánh gió carbon , lip carbon full trc sau , lắp cabo carbon , pô on off ,xe đã đc remap lên gần 300 mã , 4 phuộc độ.....siêu mới như trong hãng không lỗi nhỏ | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6688204,Audi,Khác,Audi Q5 2.0 AT 2014,555,555 Triệu,2014,Xe đã dùng,130000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-2.0-at-2014-6688204,SUV,Đen,5 cửa,"| | Audi Q5 2.0AT – SX 2014 | 1 chủ mua từ mới, odo 13 vạn km – xe giữ gìn kỹ | Zin nguyên bản, vận hành êm ái – hình thức còn rất đẹp | | Cam kết: | ✓ Xe zin 100%, không đâm va | ✓ Không ngập nước | ✓ Hồ sơ pháp lý rõ ràng – sang tên nhanh | | Xe đẹp xuất sắc, xem xe là ưng ngay! | | | |"
6251519,Audi,Khác,Audi Q5 2.0 AT 2018,1299,1 Tỷ 299 Triệu,2018,Xe đã dùng,40000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-2.0-at-2018-6251519,SUV,Đen,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 Quattro 2.0 Sx 2018 xe chạy 4vạnmiles Bảo dưỡng đầy đủ, phủ ceramic sạch sẽ tinh tươm ....Đẹp từ trong ra ngoài ACE TỰ TIN CỌC ONLINE . | | Hỗ trợ trả góp lên tới 70% giá trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6627566,Audi,Khác,Audi TT 2.0 TFSI 2015,939,939 Triệu,2015,Xe đã dùng,65000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,4 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-tt-2.0-tfsi-2015-6627566,Coupe,Đen,2 cửa,"| | AUDI TT Up TTS – Model 2016 | • Màu xanh – Nội thất đen | • Động cơ 2.0L – ~300HP – Hộp số 8 cấp | • Xe độ full TTS, ngoại hình thể thao – chạy cực phê | | Option nổi bật: | • Bodykit TTS | • Carbon: lip lườn – cảng trước/sau – đuôi gió | • Mâm CNC HRE – Phanh Brembo | • Pô downpipe on/off | • Vô lăng carbon + Start/Stop | • Intake + remap ~300HP | • Cam 360 – Âm thanh nâng cấp – Sub điện | | Hồng Phúc Auto cam kết: | ✓ Xe đẹp – Không lỗi – Điện & điều khiển hoàn hảo | ✓ Pháp lý sạch – Không tranh chấp / phạt nguội | ✓ Giao lưu – Thu mua xe cũ giá cao (Có hoa hồng) | | | |"
